bizesId,bizesNm,brchNm,indsLclsCd,indsLclsNm,indsMclsCd,indsMclsNm,indsSclsCd,indsSclsNm,ksicCd,ksicNm,ctprvnCd,ctprvnNm,signguCd,signguNm,adongCd,adongNm,ldongCd,ldongNm,lnoCd,plotSctCd,plotSctNm,lnoMnno,lnoSlno,lnoAdr,rdnmCd,rdnm,bldMnno,bldSlno,bldMngNo,bldNm,rdnmAdr,oldZipcd,newZipcd,dongNo,flrNo,hoNo,lon,lat
MA010120220806797410,성수계,,I2,음식,I201,한식,I20111,횟집,I56114,한식 해산물 요리 전문점,11,서울특별시,11215,광진구,11215710,화양동,1121510700,화양동,1.12151E+18,1,대지,48,4,서울특별시 광진구 화양동 48-4,1.12153E+11,서울특별시 광진구 아차산로,209,,1.12151E+24,,서울특별시 광진구 아차산로 209,143917,5019,,1,,127.06697481,37.541480091
MA010120220806820566,만수식당,,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,11,서울특별시,11215,광진구,11215860,구의2동,1121510300,구의동,1.12151E+18,1,대지,70,3,서울특별시 광진구 구의동 70-3,1.12153E+11,서울특별시 광진구 자양로,244,,1.12151E+24,,서울특별시 광진구 자양로 244,143819,4975,,,,127.08901349,37.548159957
MA010120220806810903,"혜리,여수돌산갓김치",,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,11,서울특별시,11215,광진구,11215870,구의3동,1121510300,구의동,1.12151E+18,1,대지,220,15,서울특별시 광진구 구의동 220-15,1.12154E+11,서울특별시 광진구 광나루로52길,104,,1.12151E+24,,서울특별시 광진구 광나루로52길 104,143822,5045,,1,,127.09041718,37.539184939
MA010120220806840354,포계촌닭한마리,,I2,음식,I201,한식,I20110,닭/오리고기 구이/찜,I56111,한식 일반 음식점업,11,서울특별시,11215,광진구,11215750,중곡2동,1121510100,중곡동,1.12151E+18,1,대지,31,10,서울특별시 광진구 중곡동 31-10,1.12153E+11,서울특별시 광진구 능동로,380,,1.12151E+24,,서울특별시 광진구 능동로 380,143885,4934,,,,127.08297586,37.563093881
MA010120220806867876,맛나국수,,I2,음식,I201,한식,I20105,국수/칼국수,I56112,한식 면 요리 전문점,11,서울특별시,11215,광진구,11215750,중곡2동,1121510100,중곡동,1.12151E+18,1,대지,150,207,서울특별시 광진구 중곡동 150-207,1.12153E+11,서울특별시 광진구 긴고랑로,92,,1.12151E+24,,서울특별시 광진구 긴고랑로 92,143896,4922,,1,,127.08560988,37.560307921
MA010120220806879657,날일달월,,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,11,서울특별시,11215,광진구,11215810,광장동,1121510400,광장동,1.12151E+18,1,대지,121,,서울특별시 광진구 광장동 121,1.12154E+11,서울특별시 광진구 아차산로78길,7,,1.12151E+24,유진스웰,서울특별시 광진구 아차산로78길 7,143802,4969,,,,127.10927274,37.550350392
MA010120220806848501,조현우국밥,,I2,음식,I201,한식,I20102,국/탕/찌개류,I56111,한식 일반 음식점업,11,서울특별시,11215,광진구,11215820,자양1동,1121510500,자양동,1.12151E+18,1,대지,623,19,서울특별시 광진구 자양동 623-19,1.12154E+11,서울특별시 광진구 자양로13길,60,,1.12151E+24,,서울특별시 광진구 자양로13길 60,143866,5057,,1,,127.0813144,37.534010806
MA010120220806898442,맛좋은집,,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,11,서울특별시,11215,광진구,11215810,광장동,1121510400,광장동,1.12151E+18,1,대지,244,27,서울특별시 광진구 광장동 244-27,1.12154E+11,서울특별시 광진구 천호대로143길,8,8,1.12151E+24,,서울특별시 광진구 천호대로143길 8-8,143805,4968,,1,,127.10339321,37.545841685
MA010120220806909925,마포갈비,,I2,음식,I201,한식,I20107,돼지고기 구이/찜,I56113,한식 육류 요리 전문점,11,서울특별시,11215,광진구,11215730,군자동,1121510900,군자동,1.12151E+18,1,대지,53,11,서울특별시 광진구 군자동 53-11,1.12153E+11,서울특별시 광진구 군자로,149,,1.12151E+24,,서울특별시 광진구 군자로 149,143837,4996,,1,,127.07567832,37.554755552
MA010120220806893125,청학동냉면,,I2,음식,I201,한식,I20106,냉면/밀면,I56112,한식 면 요리 전문점,11,서울특별시,11215,광진구,11215810,광장동,1121510400,광장동,1.12151E+18,1,대지,258,40,서울특별시 광진구 광장동 258-40,1.12153E+11,서울특별시 광진구 광장로,51,,1.12151E+24,,서울특별시 광진구 광장로 51,143806,4966,,1,,127.10281792,37.547166656
MA010120220806944382,명인명가,,I2,음식,I201,한식,I20105,국수/칼국수,I56112,한식 면 요리 전문점,11,서울특별시,11215,광진구,11215750,중곡2동,1121510100,중곡동,1.12151E+18,1,대지,31,2,서울특별시 광진구 중곡동 31-2,1.12154E+11,서울특별시 광진구 능동로50길,8,,1.12151E+24,케이지티시빌딩,서울특별시 광진구 능동로50길 8,143885,4934,,,,127.08378041,37.563931239
MA010120220806920353,다올F&B,,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,11,서울특별시,11215,광진구,11215810,광장동,1121510400,광장동,1.12151E+18,1,대지,272,19,서울특별시 광진구 광장동 272-19,1.12153E+11,서울특별시 광진구 광장로,75,,1.12151E+24,,서울특별시 광진구 광장로 75,143806,4967,,1,,127.10544419,37.547831078
MA010120220806926950,서울낙업,,I2,음식,I201,한식,I20107,돼지고기 구이/찜,I56113,한식 육류 요리 전문점,11,서울특별시,11215,광진구,11215710,화양동,1121510700,화양동,1.12151E+18,1,대지,5,35,서울특별시 광진구 화양동 5-35,1.12154E+11,서울특별시 광진구 동일로22길,117,23,1.12151E+24,,서울특별시 광진구 동일로22길 117-23,143914,5017,,1,,127.07084474,37.541612982
MA010120220806974436,강명수아저씨네,,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,11,서울특별시,11215,광진구,11215860,구의2동,1121510300,구의동,1.12151E+18,1,대지,78,52,서울특별시 광진구 구의동 78-52,1.12154E+11,서울특별시 광진구 자양로41길,7,,1.12151E+24,,서울특별시 광진구 자양로41길 7,143819,4992,,1,,127.08987542,37.549745061
